name_0	count_x	name_1	name_2	count_y
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Abu Mu'adh	1
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Amr	2
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Amr b. Abi Qays	3
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Amr b. Ma'ruf	1
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Anbasa	11
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Sa'id b. Sa'iq	1
Muhammad b. Humayd al-Razi	2879	Hakkam b. Salm	Tha'laba b. Suhayl	1
Muhammad b. Humayd al-Razi	2879	Harun	#####	3
Muhammad b. Humayd al-Razi	2879	Harun	Abasa	1
Muhammad b. Humayd al-Razi	2879	Harun	Abd Allah b. 'Uthman	1
Muhammad b. Humayd al-Razi	2879	Harun	Abu 'Abd Allah Nahshal	1
Muhammad b. Humayd al-Razi	2879	Harun	Abu Ja'far	3
Muhammad b. Humayd al-Razi	2879	Harun	Abu Mujahid	1
Muhammad b. Humayd al-Razi	2879	Harun	Abu Shayba Sa'id b. 'Abd al-Rahman	1
Muhammad b. Humayd al-Razi	2879	Harun	Amr	24
Muhammad b. Humayd al-Razi	2879	Harun	Amr b. Abi Qays	5
Muhammad b. Humayd al-Razi	2879	Harun	Amr b. Shu'ayb	1
Muhammad b. Humayd al-Razi	2879	Harun	Anbasa	42
Muhammad b. Humayd al-Razi	2879	Harun	Ansaba	1
Muhammad b. Humayd al-Razi	2879	Harun	Dawud b. Qays	1
Muhammad b. Humayd al-Razi	2879	Harun	Ibn Mujahid	2
Muhammad b. Humayd al-Razi	2879	Harun	Isa	1
Muhammad b. Humayd al-Razi	2879	Harun	Isa b. Yazid	2
Muhammad b. Humayd al-Razi	2879	Harun	Isma'il	5
Muhammad b. Humayd al-Razi	2879	Harun	Isma'il b. Muslim	1
Muhammad b. Humayd al-Razi	2879	Harun	Nahshal	1
Muhammad b. Humayd al-Razi	2879	Harun	Sufyan	1
Muhammad b. Humayd al-Razi	2879	Harun	Sufyan al-Thawri	1
Muhammad b. Humayd al-Razi	2879	Harun	al-Hajjaj	1
Muhammad b. Humayd al-Razi	2879	Harun	al-Hajjaj b. Arta'a	1
Muhammad b. Humayd al-Razi	2879	Hisham	Layth	1
Muhammad b. Humayd al-Razi	2879	Ibn 'Ulayya	Kulthum b. Jabar	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	#####	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Abu Hamza	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Falih	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Isma'il b. 'Abd al-Malik	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Sallam	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Ubayd	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Ubayd Allah	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	Yunus b. Abi Ishaq	2
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	al-'Atki	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	al-Hasan b. Waqid	1
Muhammad b. Humayd al-Razi	2879	Ibn Wadih	al-Husayn	7
Muhammad b. Humayd al-Razi	2879	Ibn Yaman	Sufyan	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Asim b. Sulayman al-Ahwal	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Hisham	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Ibn Ishaq	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Ibn Jurayj	2
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Ibn Layi'a	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Ibrahim b. Shayban	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Ma'mar	8
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Salim b. 'Umar	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Sallam b. Abi Muti'	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Sufyan	2
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Sufyan b. 'Uyayna	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Usama	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Usama b. Zayd	2
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	Yunus b. Yazid	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	al-Hajjaj b. Arta'a	1
Muhammad b. Humayd al-Razi	2879	Ibn al-Mubarak	جويبر	1
Muhammad b. Humayd al-Razi	2879	Ibrahim	Jarir b. Hazim	1
Muhammad b. Humayd al-Razi	2879	Ibrahim b. Mukhtar	Ibn Ishaq	1
Muhammad b. Humayd al-Razi	2879	Ibrahim b. Mukhtar	Ibn Jurayj	1
Muhammad b. Humayd al-Razi	2879	Ibrahim b. Mukhtar	Sha'ba	1
Muhammad b. Humayd al-Razi	2879	Ibrahim b. Mukhtar	Shayba al-Dabbi	3
Muhammad b. Humayd al-Razi	2879	Isa b. Farqad	Abu al-Jarud	2
Muhammad b. Humayd al-Razi	2879	Isa b. Farqad	Jabir al-Ja'fi	1
Muhammad b. Humayd al-Razi	2879	Jarir	#####	5
Muhammad b. Humayd al-Razi	2879	Jarir	Abd Allah b. Rafi'	1
Muhammad b. Humayd al-Razi	2879	Jarir	Abd al-'Aziz b. Rafi'	1
Muhammad b. Humayd al-Razi	2879	Jarir	Abd al-Malik	3
Muhammad b. Humayd al-Razi	2879	Jarir	Abu Ishaq	1
Muhammad b. Humayd al-Razi	2879	Jarir	Abu Sinan	1
Muhammad b. Humayd al-Razi	2879	Jarir	Abu al-Mahjal	2
Muhammad b. Humayd al-Razi	2879	Jarir	Amara	1
Muhammad b. Humayd al-Razi	2879	Jarir	Amir	1
Muhammad b. Humayd al-Razi	2879	Jarir	Amr	1
Muhammad b. Humayd al-Razi	2879	Jarir	Ash'ath	1
Muhammad b. Humayd al-Razi	2879	Jarir	Ash'ath b. Ishaq	1
Muhammad b. Humayd al-Razi	2879	Jarir	Asim	16
Muhammad b. Humayd al-Razi	2879	Jarir	Asim al-Ahwal	2
Muhammad b. Humayd al-Razi	2879	Jarir	Ata'	47
Muhammad b. Humayd al-Razi	2879	Jarir	Bayan	3
Muhammad b. Humayd al-Razi	2879	Jarir	Hisham b. 'Urwa	3
Muhammad b. Humayd al-Razi	2879	Jarir	Ibn Shabrama	1
Muhammad b. Humayd al-Razi	2879	Jarir	Layth	20
Muhammad b. Humayd al-Razi	2879	Jarir	Mansur	172
Muhammad b. Humayd al-Razi	2879	Jarir	Mu'awiyya	1
Muhammad b. Humayd al-Razi	2879	Jarir	Mughira	147
Muhammad b. Humayd al-Razi	2879	Jarir	Mughira b. Muqsim	2
Muhammad b. Humayd al-Razi	2879	Jarir	Muhammad b. Humayd al-Razi	1
Muhammad b. Humayd al-Razi	2879	Jarir	Muhammad b. Salim	1
Muhammad b. Humayd al-Razi	2879	Jarir	Mutrif	1
Muhammad b. Humayd al-Razi	2879	Jarir	Mutrif b. Tarif	1
Muhammad b. Humayd al-Razi	2879	Jarir	Qabus	2
Muhammad b. Humayd al-Razi	2879	Jarir	Qabus b. Abi Zabiyan	1
Muhammad b. Humayd al-Razi	2879	Jarir	Sufyan	1
Muhammad b. Humayd al-Razi	2879	Jarir	Sulayman	1
Muhammad b. Humayd al-Razi	2879	Jarir	Ubayda	1
Muhammad b. Humayd al-Razi	2879	Jarir	Ubayda b. Mu'tab al-Dabbi	1
Muhammad b. Humayd al-Razi	2879	Jarir	Ya'qub	2
Muhammad b. Humayd al-Razi	2879	Jarir	Yahya	2
Muhammad b. Humayd al-Razi	2879	Jarir	Yahya b. Talha	1
Muhammad b. Humayd al-Razi	2879	Jarir	Yazid b. Abi Ziyad	1
Muhammad b. Humayd al-Razi	2879	Jarir	al-'Ala' b. Mussayib	1
Muhammad b. Humayd al-Razi	2879	Jarir	al-'Amash	18
Muhammad b. Humayd al-Razi	2879	Jarir	al-Hasan b. 'Ubayd Allah	2
Muhammad b. Humayd al-Razi	2879	Jarir	al-Mughira	2
Muhammad b. Humayd al-Razi	2879	Jarir	al-Sha'bi	1
Muhammad b. Humayd al-Razi	2879	Jarir	resume	1
Muhammad b. Humayd al-Razi	2879	Jubayr	Ata'	1
Muhammad b. Humayd al-Razi	2879	Maslama b. Muharib	Ibn Ishaq	1
Muhammad b. Humayd al-Razi	2879	Mihran	#####	4
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Ja'far	27
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Kurayb	1
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Ma'shar al-Madani	1
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Mu'adh 'Isa b. Yazid	1
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Sinan	6
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Sinan Madhamtan al-Rahman	1
Muhammad b. Humayd al-Razi	2879	Mihran	Abu Sinan Sa'id b. Sinan	1
Muhammad b. Humayd al-Razi	2879	Mihran	Ali	12
Muhammad b. Humayd al-Razi	2879	Mihran	Ali b. Sahl al-Ramli	1
Muhammad b. Humayd al-Razi	2879	Mihran	Hammad	1
Muhammad b. Humayd al-Razi	2879	Mihran	Ibn Jurayj	1
Muhammad b. Humayd al-Razi	2879	Mihran	Ibn Sinan	1
Muhammad b. Humayd al-Razi	2879	Mihran	Ibn al-Mubarak	2
Muhammad b. Humayd al-Razi	2879	Mihran	Isa b. Yazid	2
Muhammad b. Humayd al-Razi	2879	Mihran	Isma'il b. 'Iyash	2
Muhammad b. Humayd al-Razi	2879	Mihran	Isma'il b. Abi Khalid	1
Muhammad b. Humayd al-Razi	2879	Mihran	Jabir	1
Muhammad b. Humayd al-Razi	2879	Mihran	Kharija	4
Muhammad b. Humayd al-Razi	2879	Mihran	Mansur	2
Muhammad b. Humayd al-Razi	2879	Mihran	Musa	1
Muhammad b. Humayd al-Razi	2879	Mihran	Musa b. 'Ubayd	1
Muhammad b. Humayd al-Razi	2879	Mihran	Musa b. 'Ubayda	3
Muhammad b. Humayd al-Razi	2879	Mihran	Musa b. 'Ubayda al-Himyari	1
Muhammad b. Humayd al-Razi	2879	Mihran	Sa'id	8
Muhammad b. Humayd al-Razi	2879	Mihran	Sa'id b. Abi 'Uruba	2
Muhammad b. Humayd al-Razi	2879	Mihran	Sallam b. Salim al-Khuza'i	2
Muhammad b. Humayd al-Razi	2879	Mihran	Shaqiq	1
Muhammad b. Humayd al-Razi	2879	Mihran	Sufyan	331
Muhammad b. Humayd al-Razi	2879	Mihran	Sufyan Bakra al-Qamar	1
Muhammad b. Humayd al-Razi	2879	Mihran	Sufyan Dhu Marra al-Najm	1
Muhammad b. Humayd al-Razi	2879	Mihran	Sufyan Ghamara	1
Muhammad b. Humayd al-Razi	2879	Mihran	Sufyan Zann	1
Muhammad b. Humayd al-Razi	2879	Mihran	Uthman b. al-Aswad	4
Muhammad b. Humayd al-Razi	2879	Mihran	al-Mubarak b. Fadala	1
Muhammad b. Humayd al-Razi	2879	Mihran	al-Mubarak b. Mujahid	1
Muhammad b. Humayd al-Razi	2879	Mihran	السدي ووجدك ضالا الضحى	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان أما استغنى فأنت له تصدى عبس	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان أيام حسوما الحاقة	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان إلى نصب يوفضون المعارج	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان إن	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان إن جهنم كانت مرصادا النبأ	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان بهذا الإسناد	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان توعدون الذاريات الجنة وأولى القولين بالصواب	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان حميم آن الرحمن	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان خلقت الجن والإنس إلا ليعبدون الذاريات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ذوقوا فتنتكم الذاريات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان رحلة الشتاء والصيف قريش	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ريحا صرصرا فصلت	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان سراجا وهاجا النبأ	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان سيجعل الله بعد عسر يسرا الطلاق بعد الشدة الرخاء	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان صغت قلوبكما التحريم	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فأصدق وأكن الصالحين المنافقون	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فألهمها فجورها وتقواها الشمس	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فإذا هم بالساهرة النازعات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فالملقيات ذكرا المرسلات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فاليوم الذين آمنوا الكفار يضحكون المطففين	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فكشفنا عنك غطاءك ق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان فهل مدكر القمر	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان قتل الإنسان أكفره عبس	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان كأنهن الياقوت والمرجان الرحمن	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان كنا طرائق قددا الجن	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان لآياتنا عنيدا المدثر	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان لا يكلف الله نفسا إلا آتاها الطلاق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان لعل الله بعد ذلك أمرا الطلاق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان لينفق ذو سعة سعته الطلاق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان مآبا النبأ	2
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان مستقر البقرة استقر	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان نسوا الله فأنساهم أنفسهم الحشر	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان هل أتى على الإنسان حين الدهر الإنسان	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان هل ترى فطور الملك	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان هل ثوب الكفار كانوا يفعلون المطففين حين كانوا يسخرون سورة الانشقاق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وآمنهم خوف قريش	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وأتمروا بينكم بمعروف الطلاق حث على بعض	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وإذا رأيت رأيت نعيما وملكا كبيرا الإنسان	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وإنه على ذلك لشهيد العاديات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان والسماء بنيناها بأيد الذاريات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان والشجر يسجدان الرحمن	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان والملك على أرجائها الحاقة	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان والنجم إذا هوى النجم	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان والنجم النجم	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وامرأته حمالة الحطب المسد	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وجعلت له مالا ممدودا المدثر	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وجنات ألفافا النبأ	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وحصل	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ودوا تدهن فيدهنون القلم	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وذللت قطوفها تذليلا الإنسان	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان وغدوا على حرد قادرين القلم	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ولا تجسسوا الحجرات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ولا تضاروهن لتضيقوا عليهن الطلاق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ولقد جاءهم الأنباء فيه مزدجر القمر	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ولن أجد دونه ملتحدا الجن	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ونحاس الرحمن يذاب الصفر فيصب على رءوسهم	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان ويذرون وراءهم ثقيلا الإنسان	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان يا أيها الذين آمنوا لا تقدموا بين يدي الله ورسوله الحجرات	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان يفجرونها تفجيرا الإنسان	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان يوم تبلى السرائر الطارق	1
Muhammad b. Humayd al-Razi	2879	Mihran	سفيان يوم هم على النار يفتنون الذاريات	1
Muhammad b. Humayd al-Razi	2879	Mihran	قتادة وإنه على ذلك لشهيد العاديات	1
Muhammad b. Humayd al-Razi	2879	Mu'mil	Sufyan	1
Muhammad b. Humayd al-Razi	2879	Mujahid	فالق الإصباح الأنعام	1
Muhammad b. Humayd al-Razi	2879	Musa b. Abi Marwan	#####	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	#####	2
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Aban b. Ishaq	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abd al-'Aziz b. Abi Rawad	5
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abu 'Abd Allah al-Bajli	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abu Ishaq	2
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abu Ja'far	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abu Ja'far Jisr b. Farqad	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abu Kurayb	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Abu Sinan al-Shaybani	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Ahmad b. Ishaq	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Amr	5
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Ghayath b. Ibrahim	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Harun	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Hunnad	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Ibn Ishaq	853
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Ishaq	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Muhammad	14
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Muhammad b. Abi Ishaq	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Sufyan al-Thawri	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Talha	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Talha b. 'Amr	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	Yahya b. al-'Ala'	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	al-Mubarak b. Mujahid	4
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق آيات مفصلات الأعراف أي آية بعد آية يتبع بعضها بعضا	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أرجه وأخاه وأرسل	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أصابكم يوم التقى الجمعان فبإذن الله وليعلم المؤمنين آل عمران أي أصابكم حين التقيتم أنتم وعدوكم فبإذني	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أليس الصبح بقريب هود أي إنما ينزل بهم صبح ليلتك هذه فامض تؤمر وبنحو الذي قلنا	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أم حسبت	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أنتم بالعدوة الدنيا وهم بالعدوة القصوى الأنفال الوادي إلى مكة والركب أسفل منكم الأنفال أي عير أبي سفيان التي خرجتم	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أنزل عليكم بعد الغم أمنة نعاسا آل عمران	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق أنزلنا على عبدنا يوم الفرقان يوم التقى الجمعان الأنفال أي يوم فرق بين الحق والباطل ببدر أي يوم التقى الجمعان منكم	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إلا الذين عاهدتم المشركين التوبة أي العهد الخاص إلى الأجل المسمى لم ينقصوكم شيئا التوبة الآية	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إلا رمزا آل عمران	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إن الذين كفروا ينفقون أموالهم ليصدوا	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إن يمسسكم قرح آل عمران أي جراح فقد مس القوم قرح	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إنا جعلنا على الأرض زينة لها لنبلوهم أيهم أحسن عملا الكهف اختبارا لهم أيهم أتبع لأمري وأعمل بطاعتي	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إنا نراك المحسنين يوسف إنا نرى ذلك منك إحسانا إن فعلت يوسف القول	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إنما المشركون نجس فلا يقربوا المسجد الحرام بعد عامهم وإن خفتم عيلة التوبة وذلك	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إنما ذلكم الشيطان يخوف أولياءه آل عمران أي أولئك الرهط	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق إني أعلم لا تعلمون البقرة أي فيكم ومنكم ولم يبدها لهم المعصية والفساد وسفك الدماء	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق اقتلوا يوسف يوسف إلى	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق الذين يلمزون المطوعين المؤمنين	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق بدا لهم بعد رأوا الآيات ليسجننه يوسف ببراءته	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق تحسونهم آل عمران بالسيوف أي بالقتل	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق تستغيثون ربكم الأنفال أي بدعائكم حين نظروا إلى كثرة عدوهم وقلة عددهم فاستجاب لكم بدعاء الله صلى الله عليه وسلم	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق جعله الله إلا بشرى لكم ولتطمئن قلوبكم آل عمران أعرف ضعفكم النصر إلا عندي بسلطاني وقدرتي	1
Muhammad b. Humayd al-Razi	2879	Salama b. al-Fadl	ابن إسحاق حتى إذا فشلتم آل عمران أي تخاذلتم وتنازعتم	1
